Material|Descripción|Unidades por caja|Peso (g)|Volumen (cm3)|Coste medio|Coste última reposición
50170121|CAJA TODODÍA NAVIDAD 2014|60|104|594|9|9
50170122|Bolso de playa Ekos Buriti Navidad 2014|85|170|1110|30|30
50170123|NECESSAIRE HOMEM ELEMENTO NAVIDAD 2014|150|59|504|23|23
50170124|NECESSAIRE CHRONOS NAVIDAD 2014|70|39|500|23|23
50170142|NUDE EAU PARFUM FLOR LARANJEIRA|0|0|0|0|0
50170143|NUDE EAU PARFUM IRIS|0|0|0|0|0
50170144|NUDE EAU PARFUM PINK ROSE|0|0|0|0|0
50170331|ESTA FLOR AMOST DEO PARFUM ROSA 3X1ML|0|10|89|0|0
50170335|ESTA FLOR AMOST DEO PARFUM IRIS 3X1ML|0|10|89|0|0
50170366|AMO REFIL SPRAY DE AMBIENTES 160ML|0|1|1|0|0
50170428|TODODIA CJ JAB SURTIDOS AMIGOS 2015|0|1|1|0|0
50170429|SEVE CJ MINIS AMIGOS 2015|0|1|1|0|0
50170432|TODODIA CJ LICHIA AMIGOS 2015|0|1|1|0|0
50170433|FACES CJ MAQUILLAJE AMIGOS 2015|0|1|1|0|0
50170434|KRISKA CJ AMIGOS 2015|0|1|1|0|0
50170435|EKOS CJ PITANGA AMIGOS 2015|0|1|1|0|0
50170436|KAIAK CJ URBE AMIGOS 2015|0|1|1|0|0
50170437|NAT HOMEM CJ ELEM BARBA AMIGOS 2015|0|1|1|0|0
50170438|AQUARELA CJ MAQUILLAJE AMIGOS 2015|0|1|1|0|0
50170439|EKOS CJ CACAO AMIGOS 2015|0|1|1|0|0
50170450|AGUAS CJ LARANJEIRA AMIGOS 2015|0|1|1|0|0
50170451|AGUAS CJ LARANJEIRA MINI AMIGOS 2015|0|1|1|0|0
50170495|TODODIA HID CORPO PERA E LICHIA 250ML|0|305|550|19|19
50170496|TODODIA SAB LIQ CORP PERA E LICHIA 300ML|0|333|450|13|13
50170558|FRAGRANCIA CONTOS DE HUMOR 1|0|0|0|0|0
50170560|ERVA DOCE SAB LIQ MAOS 250ML|0|315|1100|83|83
50170572|ERVA DOCE SAB LIQ MAOS 250ML RF|0|280|266|46|46
50170595|Carta Aplicación Kit de Inicio Paso 3|0|1|1|0|0
50170596|Carta Aplicación Kit de Inicio Paso 4|0|5|1|0|0
50170617|AMO CLASS FEM ETIQUETA PERF LATAM|0|0|1|0|0
50170618|AMO CLASS MASC ETIQUETA PERF LATAM|0|0|1|0|0
50170619|AMO ARREPIO FEM ETIQUETA PERF LATAM|0|0|1|0|0
50170629|AMO ESQUENTA MASC ETIQUETA PERF LATAM|0|0|1|0|0
50170645|AMIS FRUTAL ETIQUETA PERF LATAM|0|0|1|0|0
50170647|AMIS FRUTAL ENV ETIQUETA PERF LATAM|0|0|1|0|0
50170648|AMIS FLORAL ETIQUETA PERF LATAM|0|0|1|0|0
50170649|LUNA FLORAL ETIQUETA PERF LATAM|0|0|1|0|0
50170670|TODODIA SAB BARRA AMORA E AMENDOA 2X50G|0|109|222|0|0
50170743|SR N CLASSICO SABONETE BARRA CREMOSO 90G|0|93|121|0|0
50170795|MMBB RF SHAMPOO SUAVE 200ML|0|212|600|40|40
50170803|GLOSS CON APLICADOR COLOR 2 - ROSA CLARO|567|13|37|7|7
50170804|GLOSS CON APLICADOR COLOR 1 - CEREJA|567|12|37|8|8
50170805|GLOSS CON APLICADOR COLOR 5 - NUDE|0|12|18|7|7
50170807|PLANT SHAMPOO HIDRAT REPARADORA|0|338|560|40|40
50170808|PLANT RF SHAMPOO HIDRAT REPAR|0|317|587|12|12
50170809|PLANT CONDICIONADOR HIDRAT REPAR|0|342|396|40|40
50170820|PLANT RF CONDICIONADOR HIDRAT REPAR|0|295|650|10|10
50170822|PLANT RF MASCARA HIDRAT REPAR|0|251|587|13|13
50170824|PLANT CREME PENTEAR HIDRAT REPAR|0|229|420|40|40
50170828|PLANT MASCARA HIDRAT REPARADORA|0|304|567|40|40
50170829|PLANT AMPOLAS MULT HIDRAT REPAR|0|103|234|40|40
50170835|ERVA DOCE SAB BARRA SORTIDOS 4X90G 2015|0|394|663|105|105
50170858|EKOS DES COL FRESCOR MARACUJA VA 75ML|0|1|1|0|0
50170859|EKOS DES COL FRESC MARACUJA ROXO VA 75ML|0|1|1|0|0
50170871|FR ESTA FLOR DES COL IRIS 50ML LATAM|0|0|0|0|0
50170901|FR ESTA FLOR DES COL FLOR LAR 50ML LATAM|0|0|0|0|0
50170921|EKOS HIDRAT MAOS ACAI 75G MLF COL|0|97|245|7|7
50171047|Caja 20 años Campaña Actividad|0|0|0|59|59
50171048|Postal 20 Años Actividad|0|0|0|0|0
50171092|HIGEIA SUAVE CON ETIQ PERFUMADAS LATAM.|0|0|0|0|0
50171093|KAIAK EXTREMO ETIQUETA PERF LATAM|0|0|0|0|0
50171139|EKOS SAB LIQUIDO CASTANHA TR|0|283|540|20|20
50171184|EKOS DES COL FRESC MARACUJA ROSA VA 75ML|0|1|1|0|0
50171186|Vinilo Humor Madres 2014|0|0|0|0|0
50171187|Caja Aguas Jabuticaba Madres 2014|0|0|0|0|0
50171188|BOLSA KRAFT NATURA|0|37|270|1|1
50171204|SEVE HID DES AMEND DOCE TOQ SEC 100ML NV|0|120|281|0|0
50171217|KIT CHRO 60+ ANTSENAL DIA MUCH SENAL NCH|0|1|1|0|0
50171218|KIT CHRO 70+ ANTSENAL DIA MUCH SENAL NCH|0|1|1|0|0
50171219|KIT PLANT TRATAMIENTO LISO Y SUELTO|0|1|1|0|0
50171231|MMBB RF SAB LIQ CAB CORPO 200ML|0|211|450|40|40
50171252|Biografía a próximo pedido|0|5|1|0|0
50171254|Carta Folletería C14B Demorada|0|5|1|0|0
50171255|carta plan de acción BIOGRAFIA CN|3000|5|1|0|0
50171256|postal biografía masculino|0|3|2|0|0
50171283|SEVE DES HID AMED E FRESIA OLE BANH200ML|0|229|624|45|45
50171290|SEVE DES H AMED E FRES OLE TOQ SEC 200ML|0|226|503|0|0
50171362|ESSENCIAL ESTILO FEM EDP 50ML COL MLF|52|204|330|70|70
50171364|ESSENCIAL ESTILO FEM EDP 50ML|0|202|330|59|59
50171423|CHRONOS CREME PARA LABIOS E CONTORNO|180|33|112|40|40
50171425|CHRONOS ESPUMA LIMPEZA REFRESCANTE|0|251|468|40|40
50171426|CHRONOS RF ESPUMA LIMPEZA REFRESCANTE|48|177|456|13|13
50171427|CHRONOS GEL DE LIMPEZA ESFOLIANTE|48|148|575|40|40
50171450|HIGEIA RF SAB LIQ INTIM DELIC FRESC|0|228|455|0|0
50171451|HIGEIA RF SAB LIQ INTI SUAV CONFOR .|0|229|455|0|0
50171452|NATURE SHAMPOO CABELOS LISOS|0|304|730|18|18
50171476|Agenda CN 2015|0|0|0|0|0
50171492|AGENDA CN 2015|14|523|1075|37|37
50171495|caja 20 Años Actividad A|0|0|0|0|0
50171496|caja 20 Años Actividad B|0|0|0|0|0
50171497|caja 20 Años Actividad C|0|0|0|0|0
50171498|caja 20 Años Actividad D|0|0|0|0|0
50171538|PLANT SH LOIROS GRISALHOS COR VIVA|0|343|487|0|0
50171552|NATURE COND CACHINHOS DEFINIDOS .|0|298|600|40|40
50171554|NATURE SHAMPOO CACHINHOS DEFINIDOS|0|307|748|18|18
50171556|NATURE SHAMPOO 2 EM 1|0|307|730|0|0
50171564|NATURE SHAMPOO VERAO|0|306|830|77|77
50171566|PLANT SH CONTROLE DA OLEOSIDADE|0|347|487|15|15
50171568|PLANT SH REALCE DA COR|0|344|700|14|14
50171570|PLANT SHAMPOO LIMPEZA PROFUNDA|0|347|540|11|11
50171580|EKOS SAB LIQU MAOS MARACUJA TR|0|285|672|28|28
50171581|EKOS SAB LIQUIDO MARACUJA 250ML TR|0|280|530|20|20
50171582|EKOS RF SAB LIQUIDO CASTANHA TR|0|280|400|149|149
50171583|EKOS RF SAB LIQU MAOS MARACUJA 250ML TR|0|285|400|14|14
50171584|EKOS RF SAB LIQUIDO MARACUJA 250ML TR|0|281|560|16|16
50171585|EKOS  SAB LIQ ESFOL MARACUJA 200ML TR|0|233|665|29|29
50171586|EKOS SAB LIQ MAOS PITANGA 250ML TR|0|284|759|27|27
50171587|EKOS RF SAB LIQ MAOS PITANGA 250ML TR|0|284|522|17|17
50171588|EKOS SAB LIQUIDO PITANGA 250ML TR|0|278|482|23|23
50171589|EKOS RF SAB LIQUIDO PITANGA 250ML TR|0|276|532|40|40
50171591|EKOS SH PITANGA 300MLTR|0|339|585|0|0
50171592|EKOS SH CASTANHA 300ML TR|0|340|900|40|40
50171595|EKOS RF SH CASTANHA 300ML TR|0|338|632|0|0
50171622|PLANT SHAMPOO ANTI CASPA|0|352|555|23|23
50171623|PLANT RF SHAMPOO ANTI CASPA|0|321|650|0|0
50171626|PLANT SH BRILHO E MACIEZ SEM FORMOL|0|333|560|22|22
50171628|PLANT SH REVIT POS QUIMICA TRATADOS|0|337|487|0|0
50171630|PLANT COND RPQ CREM DIA NOITE .|0|185|360|66|66
50171641|CREER PARA VER ARETES PLATEADOS |0|0|0|0|0
50171653|MMBB ESPUM DE LIM CABEC AOS PES COM FRAG|0|262|724|39|39
50171654|MMBB LOCAO HIDRATANTE COM FRAG RELAXANTE|0|257|672|34|34
50171658|FOTOEQ LOCAO PROTETORA FPS50 120ML LATAM|0|153|249|37|37
50171659|FOTOEQ LOCAO PROT CRIANFPS50 120ML LATAM|0|154|249|38|38
50171674|ERVA DOCE ETIQUETAS PERFUMADA LATAM|0|0|0|0|0
50171688|EKOS SAB CREAM OIL ESFOL ACAI.|0|237|603|21|21
50171690|FOTOEQ LOCAO PROTETORA BEBE 50ML|0|89|163|69|69
50171691|FOTOEQ LOCAO PROTETORA FPS15 120ML LATAM|0|149|249|30|30
50171692|FOTOEQ LOCAO PROTETORA FPS30 120ML LATAM|0|152|249|34|34
50171693|FOTOEQ LOC PROTE SPRAY FPS50 120ML LATAM|0|140|260|138|138
50171694|FOTOEQ LOC PROT SPRAY FPS30 120ML LATAM|0|151|260|154|154
50171695|FOTOEQ LOC SPRAY FPS30 CRIAN 120ML LATAM|0|153|287|64|64
50171701|NATURA HOMEM SHAMPOO 2 EM 1|0|345|498|36|36
50171702|NATURA HOMEM SH CABELOS OLEOSOS|0|327|475|17|17
50171703|NATURA HOMEM SH HOMEM ANTICASPA|0|339|560|42|42
50171704|SR N CREME DE BBE ESPUMANTE|0|102|285|12|12
50171705|CHRONOS GEL CREME TRIPLA FIRM FPS15 60+|0|132|281|41|41
50171706|CHRONOS CREME RF TRIPLA FIRM FPS15 60+|140|67|144|40|40
50171707|CHRONOS GEL CREME TRIPLA FIRM FPS15 45+|0|134|320|36|36
50171708|CHRONOS GEL CREM RF TRIPL FIRM FPS15 45+|0|67|137|40|40
50171709|CHRONOS GEL CREME TRIPLA FIRM FPS15 30+|0|132|281|23|23
50171710|CHRONOS GEL CREM RF TRIPL FIRM FPS15 30+|140|68|137|40|40
50171711|CHRONOS TRIPLA FIRM CREME NUTRITIVO 30+|0|134|310|17|17
50171712|CHRONOS TRIPL FIRM RF CREME NUTRITIV 30+|0|65|137|40|40
50171713|CHRONOS TRIPLA FIRM CREME NUTRITIVO 45+|0|135|330|29|29
50171714|CHRONOS TRIPL FIRM RF CREM NUTRITIVO 45+|140|67|144|40|40
50171811|HIGEIA REF SAB INTIMO DELICADO FRESCOR|0|236|455|0|0
50171812|HIGEIA REF SAB INTIMO SUAVE CONFORTO|0|208|455|19|19
50171822|KAIAK ENERGIA DES SPRAY 100ML|0|134|336|0|0
50172074|BIOGRAFIA MASC DESPERTE DES SPRAY 100ML|0|134|336|0|0
50172076|BIOGRAFIA FEM DESPERTE DES SPRAY 100ML|0|134|336|0|0
50172084|KIT 5 BOLSAS NATURA|0|1|1|0|0
50172114|HUMOR PERFEITO DES SPRAY FEM 100ML|0|134|336|0|0
50172117|SR N DES COL SANDALO 100ML|0|283|432|0|0
50172185|NTOD SAB LIQUIDO DIA DE SOL 300ML|32|336|462|7|7
50172197|TEZ LENC UMEDECIDO 20UN|0|127|720|22|22
50172198|TEZ SAB BRA PURIFICANTE 80G|0|91|167|37|37
50172233|TEZ JABON LIQ CREMOSO LT 150ML LATAM|0|182|320|45|45
50172234|TEZ GEL DE LIMPIEZA LT 150ML LATAM|0|174|320|42|42
50172235|TEZ HID PROT RENOV FPS15 50G LATAM|0|91|245|40|40
50172236|TEZ HID PROT MAT FPS15 LT 50G LATAM|0|90|320|40|40
50172277|ESTA FLOR AMOST EDP ROSA 3X1ML LATAM|0|11|17|6|6
50172324|ESTA FLOR AMOST EDP IRIS 3X1ML LATAM|0|10|40|5|5
50172325|ESTA FLOR AMOST EDP FLO LARAN 3X1M LATAM|0|10|89|6|6
50172376|ESTA FLOR AMOST EDP ROSA 4ML LATAM|0|10|12|5|5
50172423|CHRONOS CJ HYDRA TONALIZANTE CLARO NOCHE|0|0|0|0|0
50172457|EKOS ESSENCIA CAPITIU 85ML|0|224|562|0|0
50172462|TEZ REF HID PROT NUTRI RENOV FPS15 50G|0|65|196|40|40
50172463|TEZ REF HID PROT MATIFICANTE FPS15 50G|132|67|196|40|40
50172464|TEZ REF SAB LIQ CREMOSO 150ML|0|153|660|23|23
50172465|TEZ REF SAB GEL DE LIMPEZA 140G|0|150|660|23|23
50172477|ESTA FLOR AMOST EDP IRIS 4ML LATAM|0|9|15|5|5
50172478|ESTA FLOR AMOST EDP FLOR LARAN 4ML LATAM|0|10|40|6|6
50172503|CHRONOS CJ HYDRA CONTROL OLEOSIDAD NOCHE|0|0|0|0|0
50172504|TEZ TOALLITAS DE LIMPEZA 2OUN TERC LATAM|0|128|480|20|20
50172505|VA HUMOR PERFEI DEO COL MELODIE 75ML FEM|0|0|0|0|0
50172546|CHRONOS CJ HYDRA DERMO NOCHE|0|0|0|0|0
50172548|EKOS CJ CASTANA PROMO CN|0|0|0|0|0
50172557|NAT HOMEM CJ ZERO GRAU SIEMPRE PRES|0|0|0|0|0
50172560|FACES CJ SIEMPRE PRESENTE|0|0|0|0|0
50172592|NH ELEM SH CABELO CORPO 200ML|0|247|586|0|0
50172593|NH ELEM GEL DE BARBEAR 100G.|0|129|480|7|7
50172595|AMO SUSSURRO HIDRA 100ML|0|128|372|8|8
50172596|HUMOR 2 GEL PARA BARBEAR 75G|0|103|326|0|0
50172597|HUMOR 2 GEL APOS BBA 75G|0|103|326|0|0
50172599|HUMOR 1 HID CORPO FEM 60ML|0|79|224|0|0
50172600|HUMOR 1 SAB LIQUIDO FEM 60ML|0|79|224|0|0
50172602|URBANO SHAMPOO CABELO CORPO 100ML|0|127|367|10|10
50172603|URBANO GEL DE CABELO|0|68|208|0|0
50172606|AMO SUSSURRO HIDRA 100ML|0|0|0|0|0
50172611|HUMOR 1 DES COL FEM 25ML|0|99|145|0|0
50172621|EKOS OLEO CAPITIU TOQUE SECO 200ML|48|200|272|40|40
50172626|EKOS HIDRA MAOS MATE VERDE 75G|99|97|227|8|8
50172627|EKOS HIDRA CORPO MACUJA 200ML|0|236|632|0|0
50172798|PLANT RF SH BRILHO MACIEZ|0|307|900|39|39
50172894|Revista C05|0|0|0|0|0
50172895|Revista C06|0|0|0|0|0
50172991|AQUELA PALETTE NAM|0|82|84|54|54
50173029|CHRONOS CJ HYDRA TONAL MEDIO NOCHE|0|0|0|0|0
50173183|ESTA FLOR ROSA EDP ETIQ PERFUMADA LATAM|0|0|1|0|0
50173185|ESTA FLOR FLOR LARANJ EDP ETIQ PERFLATAM|0|0|0|0|0
50173257|TDIA DES HID CREM BANH MACADA 200ML|0|245|491|0|0
50173287|AMO AMOS DES COL MASC NV FRAG2 3X1ML TER|0|10|89|0|0
50173288|AMO AMOS DES COL FEM 3X1ML NV FRAG2|0|10|89|0|0
50173342|AQUARELA BATOM BALM VERMELHO|0|19|44|36|36
50173343|AQUARELA BATOM BALM ROSA|0|19|44|38|38
50173344|AQUARELA BATOM BALM PINK|0|19|44|29|29
50173346|AQUARELA BATOM BALM MARROM|0|19|44|36|36
50173347|AQUARELA BATOM BALM VINHO|0|19|44|0|0
50173348|AQUARELA BATOM BALM BOCA|0|19|44|35|35
50173349|AQUARELA BATOM BALM CORAL|0|19|44|0|0
50173420|AMO ESQUENTA DES COL MASC 75ML|0|249|628|0|0
50173422|AMO DES COL MASC 75ML|0|249|628|0|0
50173423|AMO DES COL FEM 75ML|0|258|625|115|115
50173424|AMO OLEO MASSAGEM BEIJAVEL 120G|0|1|1|0|0
50173441|AMO ESQUENTA DES COL MASC DEMO 4ML|0|9|12|0|0
50173442|AMO ARREPIO DES COL FEM DEMO 4ML|0|9|12|0|0
50173455|Flyer 14B-01|0|6|37|0|0
50173457|Flyer 14B-02|2500|6|38|0|0
50173459|Flyer 14B-03|2500|6|38|0|0
50173460|Flyer 14B-04|0|6|37|0|0
50173461|Flyer 14B-05|0|6|38|0|0
50173489|ECOKIT COMPLETO SUSTENTABILIDAD 2015|0|0|0|0|0
50173510|PLANT RF SH HID REPARADORA|0|307|650|40|40
50173511|PLANT RF COND HID REPARADORA|0|301|650|52|52
50173512|PLANT RF COND HID REP MASCAR ENS|0|257|650|56|56
50173513|PLANT RF SH CABELOS OLEOSOS|0|322|650|0|0
50173518|PLANT RF COND CABELOS OLEOSOS|0|290|650|32|32
50173519|PLANT RF SH LIMPEZA PROFUNDA|0|322|650|0|0
50173521|PLANT RF COND CONTROLE VOLUME 300ML|0|307|650|0|0
50173523|PLANT RF COND MASC HID CONTR VOL 250G|0|258|484|43|43
50173524|PLANT RF COND PROT REALCE COR|0|305|1320|7|7
50173527|PLANT RF COND MASCAR PROT REALC COR|0|259|650|40|40
50173528|PLANT RF SH PROT REALCE COR|0|322|650|0|0
50173529|PLANT RF SH PROT REALC COR CAB LOIRO|0|327|650|0|0
50173534|MOMA DUO DES CORP HID & TONALIZANTE 200G|0|1|1|0|0
50173539|MOMA RF DUO ILUMINADOR DES HID CORP 100G|0|1|1|0|0
50173542|PLANT RF SH CURVAS ENVOLVENTES 300ML|0|307|700|35|35
50173560|MOMA RF DUO HIDRATANTE DES CORP 100G|0|1|1|0|0
50173564|PLANT RF SH REVIT POS QUIMICA 300ML|0|313|840|55|55
50173567|EKOS FRESCOR MARACUJA DES COL 2015|0|348|649|0|0
50173568|EKOS FRESCOR PITANGA DES COL 2015|0|348|649|0|0
50173569|EKOS FRESCOR CASTANHA DES COL 2015|0|348|649|0|0
50173583|Carta Lápices Faces C15|3000|6|1|0|0
50173588|TD Algodón a próximo pedido.|0|5|1|0|0
50173591|Carta Pedro Gonzales Fin de año|0|5|5|0|0
50173593|PLANT RF REVI POS QUIMI COND MASCAR|0|256|650|48|48
50173594|PLANT RF COND REVIT POS QUIMICA|0|300|840|49|49
50173595|PLANT RF SH ANTICASPA|0|317|650|40|40
50173596|PLANT RF SHAMPOO LISO E SOLTO|0|317|560|13|13
50173597|PLANT RF CONDICIONADOR LISO E SOLTO|0|302|660|54|54
50173598|PLANT RF MASCARA LISO E SOLTO|0|255|756|57|57
50173600|EKOS FRESCOR BURITI DES COL 2015|0|348|649|0|0
50173601|EKOS FRESCOR ACAI DES COL 2015|0|348|649|0|0
50173602|EKOS FRESCOR MARACUJA DES COL 2015|0|348|649|0|0
50173603|EKOS FRESCOR PITANGA DES COL 2015|0|348|649|0|0
50173607|EKOS FRES MADEI FLOR DES COL DEMO 4M TER|0|10|12|0|0
50173608|EKOS FRES MADEI FLOR DES COL AM 3X1M TER|0|10|89|0|0
50173620|AGUAS VALVULA RE 150ML|0|8|67|49|49
50173628|AMIS DES COL FLORAL 60ML LATAM|0|88|166|54|54
50173629|AMIS DES COL FRUTAL ENV 60ML LATAM|0|87|184|62|62
50173650|AMIS DES COL FRUTAL 60ML LATAM|0|87|192|56|56
50173668|BOLSA NINOS 2015|100|39|750|2|2
50173669|TRAPO DE APEGO NINOS 2015|0|0|0|26|26
50173672|UNA BASE LIQ EF TENSOR RAD FPS15 BEG NAT|0|131|131|63|63
50173673|UNA BASE LIQ EF TENSOR RAD FPS15 BEG CLA|0|131|208|60|60
50173674|UNA BASE LIQ EF TENSOR RAD FPS15 BEG MED|0|131|131|60|60
50173675|UNA BASE LIQ EF TENSO RAD FPS15 BEG CAST|0|131|131|56|56
50173682|Cartel troquelado Natura 20 años grande |0|0|0|0|0
50173726|AQUARELA PALLETE SOMBRAS 8 CORES|0|73|72|101|101
50173727|KAIAK CLASSICO DES COL 100ML VRPC|0|296|534|0|0
50173728|ESSENCIAL DEO PARFUM MASC 100ML VRPC|0|325|530|0|0
50173820|NATURE BOLSO DE JUEGO NINOS 2015|100|28|342|20|20
50173876|NATURE CJ COLONIA NINO 2015|0|0|0|0|0
50173884|NATURE CJ COLONIA NINA 2015|0|0|0|0|0
50173893|MMBB CJ PERFUMERIA NINOS 2015|0|0|0|0|0
50173962|CARTA APERT TIENDA UNICENTER|600|5|1|0|0
50173963|Folleto navidad CF|270|46|103|0|0
50173964|Hoja de pedido Navidad|0|0|0|0|0
50174049|CHRO HYDRA FPS30 TON CLARO MEDIO LATAM|99|78|213|4|4
50174074|NTOD SAB BARRA ALECRIM E SALVIA|0|486|771|0|0
50174075|NTOD SAB BARRA MACADAMIA|0|480|810|0|0
50174076|NTOD SAB BARRA FRUTAS VERMELHAS|0|478|766|0|0
50174114|NATURA HOMEM CLASSICO DES COL 100ML|0|349|495|0|0
50174115|NATURA HOMEM ESPECIARIAS DES COL 100ML|0|349|495|0|0
50174116|NATURA HOMEM MADEIRAS DES COL 100ML|0|349|495|0|0
50174214|TODODIA FLORES CAMPO ETIQ PERFUMAD LATAM|0|0|1|0|0
50174215|SEVE POS BANHO MAES 2015 ETIQ PERF LATAM|0|0|1|0|0
50174319|ESSENCIAL ESTILO FEM ETIQUETA PERF LATAM|0|0|1|0|0
50174320|KAIAK ENERGIA FEM ETIQUETA PERF LATAM|0|0|0|0|0
50174321|KAIAK FLUIR FEM ETIQUETA PERF LATAM|0|0|0|0|0
50174360|FOLLETO DE SUSTENTABILIDAD 2015|0|0|0|0|0
50174407|TDIA SAB LIQ ALGODAO 300ML DP2 PV.|0|330|635|0|0
50174415|TDIA SAB LIQ FRUTA VERMELHA 300ML DP2PV.|0|290|635|0|0
50174416|TDIA SAB LIQ MACADAMIA 300ML DP2 PV|0|330|635|0|0
50174417|TDIA SAB LIQ AVELAE ROMA 300ML DP2 PV.|0|308|635|0|0
50174418|TDIA SAB LIQ ACONCHEGO 300ML DP2 PV.|0|356|390|0|0
50174420|TDIA SAB LIQ AMORA  AMENDOA 300ML DP2PV.|0|330|635|0|0
50174431|Flyer Fotoequilibrio 2014|2000|5|1|0|0
50174432|TDIA SAB LIQ ORQUIDEA 300ML DP2 PV|0|340|540|40|40
50174433|IMAN DE SUSTENTABILIDAD 2015|0|0|0|0|0
50174434|STICKER DE SUSTENTABILIDAD 2015|0|0|0|0|0
50174435|TACHO DE SUSTENTABILIDAD 2015|0|0|0|0|0
50174546|CT KAIAK ENERGIA 100ML EDT ARG MLF|0|0|0|0|0
50174598|AGUAS BANHO DE CHUVA DEO COL FEM 150ML|0|294|569|0|0
50174600|KAIAK ENERGIA 100ML EDT|0|304|570|64|64
50174602|AMO SUSSURRO SAB BRA 2X90G.|0|205|425|0|0
50174639|Individuales Amo Enamorados 2015|0|0|0|0|0
50174647|TDIA SPRAY DESHID PERF CEREJ AVELA 200ML|0|234|612|36|36
50174649|UNA BB BASE MULTI BENEF BEGE NATURAL|0|50|20|40|40
50174669|MMBB NANINHA|0|1|1|0|0
50174700|UNA BB BASE MULTI BENEF BEGE MEDIO|156|49|141|40|40
50174701|UNA BB BASE MULTI BENEF BEGE CLARO|0|50|141|40|40
50174702|UNA BB BASE MULTI BENEF BEGE CASTANHO|156|52|141|12|12
50174724|Insert Kit de Inicio 2015|1250|12|13|0|0
50174725|Folleto Chronos Kit de Inicio 2015|0|0|0|0|0
50174726|UNA FOLLETO KIT DE INICIO 2015|250|47|126|0|0
50174727|Folleto Aquarela Kit de Inicio 2015|0|0|0|0|0
50174728|Folleto Faces Kit de Inicio 2015|0|0|0|0|0
50174729|Folleto Semillas Verano 2015|0|0|0|0|0
50174769|AQUARELA SOMBRA MONO COR 1|0|21|72|40|40
50174818|CONSULTORIA NATURA CICLO 11 2015 ARG|400|25|357|1|1
50174819|REVISTA NATURA CICLO 12 2015 ARG|75|131|178|4|4
50174836|REVISTA NATURA C01 2015 ARG|60|130|177|0|0
50174837|Revista Natura Regalo ciclo 01 2015|60|130|353|0|0
50174838|CONSULTORIA NATURA C01 2015 ARG|350|24|71|0|0
50174839|REVISTA NATURA C02A 2015 ARG|57|145|179|0|0
50174840|Revista Natura regalo ciclo 02A 2015|57|145|179|0|0
50174841|Consultoría Natura ciclo 02A 2015|320|26|35|0|0
50174842|REVISTA NATURA CICLO 02B 2015 ARG|60|134|179|0|0
50174843|Revista Natura regalo ciclo 02B 2015|60|134|179|0|0
50174844|Consultoría Natura ciclo 02B 2015|400|21|71|0|0
50174845|REVISTA NATURA CICLO 03 2015 ARG|75|138|200|0|0
50174846|Revista Natura regalo ciclo 03 2015|0|136|200|0|0
50174847|Consultoría Natura ciclo 03 2015|300|38|75|0|0
50174848|REVISTA NATURA CICLO 04 2015 ARG|70|151|179|0|0
50174849|Revista Natura regalo ciclo 04 2015|70|151|179|0|0
50174850|Consultoría Natura ciclo 04 2015|400|20|36|0|0
50174851|REVISTA NATURA CICLO 05 2015 ARG|70|136|179|0|0
50174852|Revista Natura regalo ciclo 05 2015|70|136|179|0|0
50174853|Consultoría Natura ciclo 05 2015|200|40|75|0|0
50174854|REVISTA NATURA CICLO 06 2015 ARG|75|133|178|0|0
50174855|Revista Natura regalo ciclo 06 2015|75|133|178|0|0
50174856|Consultoría Natura ciclo 06 2015|200|26|71|0|0
50174857|REVISTA NATURA CICLO 07 2015 ARG|65|145|250|0|0
50174858|Revista Natura regalo ciclo 07 2015|65|144|178|0|0
50174859|Consultoría Natura ciclo 07 2015|400|25|17|0|0
50174860|REVISTA NATURA CICLO 08 2015 ARG|65|133|357|0|0
50174861|Revista Natura regalo ciclo 08 2015|65|133|357|0|0
50174862|Consultoría Natura ciclo 08 2015|320|30|79|0|0
50174863|REVISTA NATURA CICLO 09A 2015 ARG|66|147|357|3|3
50174864|REVISTA NATURA REGALO CICLO 09A 2015 ARG|66|147|357|0|0
50174865|CONSULTORIA NATURA CICLO 09A 2015 ARG|220|42|362|0|0
50174866|REVISTA NATURA CICLO 09B 2015 ARG|70|134|179|3|3
50174868|REVISTA NATURA REGALO CICLO 09B 2015 ARG|70|134|179|0|0
50174869|CARTA SOFT CONVERSION TODODIA 2017|500|4|357|0|0
50174870|REVISTA NATURA CICLO 10 2015 ARG|70|138|179|4|4
50174871|Revista Natura regalo ciclo 10 2015|0|0|0|0|0
50174872|CONSULTORIA NATURA CICLO 10 2015 ARG|320|25|85|1|1
50174873|REVISTA NATURA CICLO 11 2015 ARG|75|137|179|5|5
50174874|Revista Natura regalo ciclo 11 2015|0|0|0|0|0
50174896|KIT DE PINCEIS PARA OLHOS|0|15|150|16|16
50174910|Revista Natura regalo ciclo 12 2015|0|0|0|0|0
50174911|CONSULTORIA NATURA CICLO 12 2015 ARG|400|25|357|1|1
50174912|REVISTA NATURA CICLO 13 2015 ARG|66|151|179|5|5
50174913|Revista Natura regalo ciclo 13 2015|0|0|0|0|0
50174914|CONSULTORIA NATURA CICLO 13 2015 ARG|400|23|36|1|1
50174915|REVISTA NATURA CICLO 14A 2015 ARG|65|148|174|6|6
50174916|Revista Natura regalo ciclo 14A 2015|0|0|0|0|0
50174917|CONSULTORIA NATURA CICLO 14A 2015 ARG|270|37|357|2|2
50174918|REVISTA NATURA CICLO 14B 2015 ARG|70|140|141|5|5
