ID,CODIGO_VENTA,MATERIAL,CICLO,SUBCICLO,FECHA_CAPTACION,TIPO,UNIDADES,VENTA ONLINE,COD_LINEA_SEPARACION,LINEA_SEPARACION,COD_CANAL_DISTRIBUCION,CANAL_DISTRIBUCION
152e6ae02d559801a05bf8164f6698eb,56531,50312820,202115,,2021-10-25,Regalo,1,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
1549ae162a30ede12c71b7b134444110,19600,50311903,202115,,2021-10-25,Venta Normal,27,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
154ceb8d180ea1282c727c69de558903,83986,50238866,202114b,2o SubCiclo,2021-10-25,Venta Normal,12,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
155233ddb39eced83f38d44003fac32a,74057,50284027,202115,,2021-10-25,Venta com Descuento,36,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
1554f93e527a9a339aa08ccf83d786cb,19075,50297793,202114b,2o SubCiclo,2021-10-25,Venta com Descuento,28,No,,,3,Plaza
15555020fbf1def07304bacbd4ad3532,1897,50320917,202115,,2021-10-25,Venta com Descuento,8,Sí,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
155ced98fd3eb1041c7cde98d7781a97,69583,50300543,202114b,2o SubCiclo,2021-10-26,Venta Normal,14,No,,,3,Plaza
1562a6a8ab00d8501df8979569f6a46d,93810,50298068,202114b,2o SubCiclo,2021-10-25,Venta com Descuento,10,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
1567e0da90e29b23f5bc705291675ff4,48364,50237412,202115,,2021-10-25,Venta Normal,1,No,7.0,Knapp PTL,3,Plaza
15684125225e674a0c3a2643d26318fb,70968,50273526,202114b,2o SubCiclo,2021-10-25,Venta com Descuento,20,No,,,3,Plaza
156cd41f7f088737651bdf19ae7d3792,2179,50305785,202114b,2o SubCiclo,2021-10-26,Venta Normal,26,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
158dd3f5143cd2482896d8af492867c5,93269,50265483,202115,,2021-10-25,Venta com Descuento,5,No,7.0,Knapp PTL,3,Plaza
159a3a670c5032d829572727dbdc0b19,83655,50236364,202115,,2021-10-26,Venta Normal,139,No,,,3,Plaza
15a9663ba9cf6ab2f3163e645dc1c25b,73343,50281035,202115,,2021-10-26,Venta Normal,4,No,,,3,Plaza
15b270dd143214e7cd423ec07da1c522,22557,50331272,202115,,2021-10-25,Venta Normal,6,No,,,3,Plaza
15b435a21c246c40af2977828272d76a,73197,50281030,202114b,2o SubCiclo,2021-10-26,Venta Normal,9,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
15b8a144076a63d9ecde8bffd0218798,34262,50273719,202115,,2021-10-25,Regalo,2,No,7.0,Knapp PTL,3,Plaza
15bbc0dd6831b475786ae4875f17b9b3,43259,50219187,202114b,2o SubCiclo,2021-10-25,Venta Normal,6,No,7.0,Knapp PTL,3,Plaza
15bc2f387515b0b3ee658d7daac5ca6c,72998,50343143,202114b,2o SubCiclo,2021-10-26,Venta Normal,107,No,,,3,Plaza
15bf35edb31f256c2bd77cfe83fc33d3,18889,50326066,202114b,2o SubCiclo,2021-10-25,Regalo,1,No,,,3,Plaza
15c6773f956e9666c0f70996d629c5fc,92808,50264917,202114b,2o SubCiclo,2021-10-26,Venta Normal,23,No,,,3,Plaza
15c95d5a49b09e84f4c9a4a5312d3512,74061,50283780,202115,,2021-10-25,Venta com Descuento,42,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
15ca9e6b0dba45fa8a5aa54a99a72bb5,70825,50343132,202114b,2o SubCiclo,2021-10-25,Venta Normal,242,No,,,3,Plaza
15d15e70901b8b6ef84063f9517eee0d,95840,50303528,202114b,2o SubCiclo,2021-10-25,Reclamo,6,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
15de745ced61b7a1108327e2bfb3c58a,69817,50326100,202115,,2021-10-25,Venta com Descuento,2,Sí,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
15deb7a5d4e7f6f85dbd360f93054239,53549,50175209,202115,,2021-10-26,Regalo,1,No,,,3,Plaza
15e642b63aa5718ee9cded4eb477e3cf,109800,50316364,202114b,2o SubCiclo,2021-10-25,Venta com Descuento,114,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
15e7beb8f4bdf3608b6faf297b0af405,69725,50269720,202115,,2021-10-25,Venta com Descuento,1,Sí,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
15f176aa156ef0a21dae07c91a0aa840,66006,50329590,202114b,2o SubCiclo,2021-10-25,Venta Normal,10,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
15fbb7ca65db885b0cb96898b5a023b7,92799,50316671,202114b,2o SubCiclo,2021-10-25,Venta Normal,13,No,,,3,Plaza
15fe3efbdcfca3757d6530524baf617d,3311,50259170,202114b,2o SubCiclo,2021-10-25,Venta Normal,100,No,,,3,Plaza
16014b82aef39f347b6d73f8715386fc,110896,50311534,202114b,2o SubCiclo,2021-10-25,Venta Normal,1,No,7.0,Knapp PTL,3,Plaza
16083b5fecfc29db55fb151a572ad108,93788,50298213,202115,,2021-10-25,Venta Normal,3,No,7.0,Knapp PTL,3,Plaza
